Crop,temperature,Soil_Moisture,Area_in_hectares,Production_in_tons,Crop_Type,N,P,K,pH,rainfall,Yield_ton_per_hec
jowar,29.56666667,54,2927.0,2650.0,kharif,80,40,40,5.6,297.66,0.905363854
moong,29.56666667,54,3370.0,1400.0,kharif,20,40,20,5.66,297.66,0.415430267
sesamum,29.56666667,54,1642.0,1110.0,kharif,30,15,30,6.56,297.66,0.676004872
sunflower,29.56666667,54,18.0,20.0,kharif,50,60,30,5.68,297.66,1.111111111
cotton,29.56666667,54,9743.0,4400.0,kharif,120,40,20,5.44,297.66,0.451606281
jowar,29.56666667,54,5806.0,4530.0,kharif,80,40,40,5.54,297.66,0.780227351
moong,29.56666667,54,8228.0,3140.0,kharif,20,40,20,5.34,297.66,0.381623724
ragi,29.56666667,54,445.0,1020.0,kharif,50,40,20,5.4,297.66,2.292134831
sesamum,29.56666667,54,3010.0,1100.0,kharif,30,15,30,6.32,297.66,0.365448505
sunflower,29.56666667,54,947.0,350.0,kharif,50,60,30,5.38,297.66,0.369588173
cotton,29.56666667,54,6779.0,6380.0,kharif,120,40,20,5.62,297.66,0.941141761
moong,29.56666667,54,4003.0,1660.0,kharif,20,40,20,5.46,297.66,0.414688983
sesamum,29.56666667,54,1195.0,1010.0,kharif,30,15,30,6.64,297.66,0.845188285
sunflower,29.56666667,54,15.0,20.0,kharif,50,60,30,5.44,297.66,1.333333333
jowar,29.56666667,54,1639.0,2120.0,kharif,80,40,40,5.64,297.66,1.293471629
moong,29.56666667,54,157.0,60.0,kharif,20,40,20,5.42,297.66,0.382165605
ragi,29.56666667,54,2008.0,4160.0,kharif,50,40,20,5.36,297.66,2.071713147
sesamum,29.56666667,54,7040.0,3310.0,kharif,30,15,30,6.56,297.66,0.470170455
sunflower,29.56666667,54,47.0,60.0,kharif,50,60,30,5.68,297.66,1.276595745
jowar,29.56666667,54,7007.0,5630.0,kharif,80,40,40,5.54,297.66,0.803482232
moong,29.56666667,54,7165.0,4310.0,kharif,20,40,20,5.48,297.66,0.601535241
ragi,29.56666667,54,666.0,1630.0,kharif,50,40,20,5.4,297.66,2.447447447
sesamum,29.56666667,54,3259.0,1700.0,kharif,30,15,30,6.44,297.66,0.521632403
sunflower,29.56666667,54,1089.0,720.0,kharif,50,60,30,5.36,297.66,0.661157025
horsegram,28.68,54,82.0,30.0,kharif,20,60,20,5.98,770.44,0.365853659
moong,28.68,54,18262.0,3378.0,kharif,20,40,20,5.56,770.44,0.184974263
sesamum,28.68,54,2126.0,272.0,kharif,30,15,30,6.56,770.44,0.127939793
sunflower,28.68,54,1221.0,629.0,kharif,50,60,30,5.64,770.44,0.515151515
horsegram,25.574,54,3088.0,1019.0,rabi,20,60,20,6.06,98.94,0.329987047
moong,25.574,54,3591.0,1095.0,rabi,20,40,20,5.56,98.94,0.304928989
rapeseed,25.574,54,23.0,7.0,rabi,50,40,20,4.86,98.94,0.304347826
sesamum,25.574,54,12841.0,2478.0,rabi,30,15,30,6.64,98.94,0.192975625
cashewnuts,28.99454545,54,24.0,2.0,whole year,70,40,60,5.88,942.8,0.083333333
coriander,28.99454545,54,2076.0,1021.0,whole year,10,20,20,6.64,942.8,0.491811175
jowar,28.68,54,1054.0,1011.0,kharif,80,40,40,5.58,770.44,0.959203036
sesamum,28.68,54,308.0,60.0,kharif,30,15,30,6.66,770.44,0.194805195
sunflower,28.68,54,564.0,712.0,kharif,50,60,30,5.62,770.44,1.262411348
horsegram,25.574,54,1157.0,382.0,rabi,20,60,20,6.18,98.94,0.330164218
jowar,25.574,54,1070.0,1036.0,rabi,80,40,40,5.62,98.94,0.968224299
moong,25.574,54,1157.0,353.0,rabi,20,40,20,5.36,98.94,0.305099395
sesamum,25.574,54,3211.0,620.0,rabi,30,15,30,6.38,98.94,0.193086266
coriander,28.99454545,54,47.0,23.0,whole year,10,20,20,6.68,942.8,0.489361702
jowar,28.68,54,2753.0,3438.0,kharif,80,40,40,5.52,770.44,1.24881947
ragi,28.68,54,6.0,8.0,kharif,50,40,20,5.64,770.44,1.333333333
sesamum,28.68,54,7164.0,1075.0,kharif,30,15,30,6.66,770.44,0.150055835
horsegram,25.574,54,559.0,184.0,rabi,20,60,20,5.92,98.94,0.329159213
jowar,25.574,54,12191.0,8375.0,rabi,80,40,40,5.64,98.94,0.6869822
maize,25.574,54,3957.0,9065.0,rabi,80,40,20,5.46,98.94,2.290876927
moong,25.574,54,2292.0,699.0,rabi,20,40,20,5.34,98.94,0.304973822
sesamum,25.574,54,920.0,178.0,rabi,30,15,30,6.62,98.94,0.193478261
cashewnuts,28.99454545,54,10314.0,1082.0,whole year,70,40,60,6.1,942.8,0.104905953
horsegram,28.68,54,6024.0,2422.0,kharif,20,60,20,6.04,770.44,0.402058433
ragi,28.68,54,6392.0,6878.0,kharif,50,40,20,5.38,770.44,1.076032541
sesamum,28.68,54,1022.0,199.0,kharif,30,15,30,6.36,770.44,0.194716243
sunflower,28.68,54,17909.0,9292.0,kharif,50,60,30,5.68,770.44,0.518845273
horsegram,25.574,54,2283.0,753.0,rabi,20,60,20,5.96,98.94,0.329829172
moong,25.574,54,8.0,2.0,rabi,20,40,20,5.46,98.94,0.25
